station_id,name,lon,lat,elev_m,tzname,state
DNS,DENISON,-95.3799888889,41.9841944444,381.0,America/Chicago,IA
DSM,Des Moines,-93.653114,41.53395,294.0,America/Chicago,IA
DBQ,DUBUQUE,-90.709143,42.39835,329.0,America/Chicago,IA
EST,ESTHERVILLE,-94.747643,43.400849,401.0,America/Chicago,IA
FFL,FAIRFIELD,-91.9834111111,41.0520888889,242.3,America/Chicago,IA
FXY,Forest City,-93.6236694444,43.2323166667,374.6,America/Chicago,IA
FOD,FORT DODGE,-94.203203,42.549741,355.0,America/Chicago,IA
FSW,FORT MADISON,-91.3267166667,40.6614833333,220.1,America/Chicago,IA
GGI,Grinnell,-92.7331972222,41.7097305556,307.0,America/Chicago,IA
HPT,Hampton,-93.22439295,42.71752039,350.1681,America/Chicago,IA
HNR,HARLAN,-95.3354555556,41.5834194444,364.5,America/Chicago,IA
IIB,INDEPENDENCE,-91.9504,42.4544277778,294.0,America/Chicago,IA
IOW,IOWA CITY,-91.544535,41.63939,204.0,America/Chicago,IA
IFA,Iowa Falls,-93.2650805556,42.4690972222,346.6,America/Chicago,IA
EOK,KEOKUK MUNI,-91.4273916667,40.4614611111,204.5,America/Chicago,IA
OXV,Knoxville,-93.1113916667,41.2984472222,281.9,America/Chicago,IA
LWD,LAMONI,-93.900467,40.630636,333.0,America/Chicago,IA
LRJ,LE MARS,-96.19225,42.775375,362.4,America/Chicago,IA
MIW,MARSHALLTOWN,-92.916315,42.110606,297.0,America/Chicago,IA
MCW,MASON CITY,-93.326097,43.154383,370.0,America/Chicago,IA
MXO,MONTICELLO MUNI,-91.1604555556,42.2203611111,254.5,America/Chicago,IA
MPZ,MOUNT PLEASANT,-91.5122277778,40.9452527778,222.0,America/Chicago,IA
MUT,MUSCATINE,-91.140575,41.3669944444,165.5,America/Chicago,IA
TNU,NEWTON MUNI,-93.0190416667,41.6701111111,287.0,America/Chicago,IA
OLZ,OELWEIN,-91.9759888889,42.6831388889,328.0,America/Chicago,IA
ORC,Orange City,-96.0605861111,42.9894916667,429.97208,America/Chicago,IA
I75,Osceola,-93.6876138889,41.0471722222,338.3,America/Chicago,IA
OOA,Oskaloosa,-92.4918666667,41.227275,256.0,America/Chicago,IA
OTM,OTTUMWA,-92.444592,41.100793,258.0,America/Chicago,IA
PEA,PELLA,-92.9431083333,41.3989138889,265.0,America/Chicago,IA
PRO,Perry,-94.1637083333,41.8277916667,309.0,America/Chicago,IA
DVN,QUAD CITIES,-90.594829,41.613329,229.0,America/Chicago,IA
RDK,RED OAK,-95.2624111111,41.01065,317.0,America/Chicago,IA
SHL,SHELDON,-95.8353138889,43.2081611111,432.2,America/Chicago,IA
SDA,SHENANDOAH MUNI,-95.4112333333,40.753275,296.0,America/Chicago,IA
SUX,SIOUX CITY,-96.379478,42.391678,336.0,America/Chicago,IA
SXK,Sioux County,-96.1614003,42.9858275,427.62628,America/Chicago,IA
SPW,SPENCER,-95.210088,43.168218,403.0,America/Chicago,IA
SLB,Storm Lake,-95.2399194444,42.5972277778,449.9,America/Chicago,IA
VTI,VINTON,-92.0248416667,42.2175777778,255.0,America/Chicago,IA
AWG,WASHINGTON,-91.6748111111,41.2751444444,228.9,America/Chicago,IA
ALO,Waterloo,-92.401293,42.554365,268.0,America/Chicago,IA
EBS,Webster City,-93.8690777778,42.4392305556,337.4,America/Chicago,IA
1U7,Bear Lake County,-111.3416,42.2497,1807.0803,America/Boise,ID
BOI,BOISE MUNICIPAL,-116.24056,43.56667,874.0,America/Boise,ID
65S,Bonners Ferry,-116.2952,48.726,711.0,America/Los_Angeles,ID
BYI,BURLEY MUNICIPAL,-113.77154,42.5426,1265.0,America/Boise,ID
EUL,CALDWELL,-116.63578,43.64186,740.0,America/Boise,ID
LLJ,Challis,-114.215,44.52278,1546.0,America/Boise,ID
COE,COEUR D ALENE(AWOS),-116.81958,47.77431,707.0,America/Los_Angeles,ID
DIJ,Driggs,-111.0978608,43.7419306,1898.0,America/Boise,ID
P69,Elk City (RAMOS),-115.5971251,46.1445361,445.0,America/Los_Angeles,ID
GNG,Gooding,-114.7652,42.9172,1127.4661,America/Boise,ID
GIC,Grangeville,-116.1234167,45.9425556,1010.0,America/Los_Angeles,ID
SUN,HAILEY/FRIEDMAN MEM,-114.29555,43.50378,1620.0,America/Boise,ID
IDA,IDAHO FALLS/FANNING,-112.07075,43.51372,1445.0,America/Boise,ID
JER,JEROME COUNTY AIRPORT,-114.45664,42.72669,1222.0,America/Boise,ID
LWS,Lewiston,-117.01539,46.3745,438.0,America/Los_Angeles,ID
MLD,MALAD CITY,-112.29663,42.16659,1373.0,America/Boise,ID
77M,MALTA,-113.334,42.316,1375.0,America/Boise,ID
MYL,MC CALL,-116.10167,44.88889,1531.0,America/Boise,ID
MUO,MOUNTAIN HOME AFB,-115.87243,43.0436,913.0,America/Boise,ID
